created_at,TextPivot,Number of Records
16/03/2020,today,97
16/03/2020,time,337
16/03/2020,support,202
16/03/2020,small,174
16/03/2020,save,68
16/03/2020,right,173
16/03/2020,response,118
16/03/2020,rent,201
16/03/2020,public,118
16/03/2020,paying,175
16/03/2020,pay,846
16/03/2020,pandemic,211
16/03/2020,package,28
16/03/2020,open,101
16/03/2020,new,124
16/03/2020,needed,32
16/03/2020,money,728
16/03/2020,million,38
16/03/2020,lost,68
16/03/2020,lockdown,35
16/03/2020,lives,79
16/03/2020,latest,70
16/03/2020,jobs,228
16/03/2020,income,218
16/03/2020,impact,118
16/03/2020,home,231
16/03/2020,help,375
16/03/2020,health,193
16/03/2020,government,210
16/03/2020,good,139
16/03/2020,global,108
16/03/2020,economy,667
16/03/2020,economic,117
16/03/2020,debt,17
16/03/2020,crisis,194
16/03/2020,country,120
16/03/2020,China,99
16/03/2020,care,126
16/03/2020,businesses,214
16/03/2020,business,981
16/03/2020,#economy,103
16/03/2020,#business,102
16/03/2020,@realDonaldTrump,141
17/03/2020,world,187
17/03/2020,working,205
17/03/2020,workers,302
17/03/2020,work,535
17/03/2020,virus,246
17/03/2020,US,160
17/03/2020,Trump,172
17/03/2020,today,144
17/03/2020,time,498
17/03/2020,support,344
17/03/2020,small,268
17/03/2020,save,124
17/03/2020,right,242
17/03/2020,response,91
17/03/2020,rent,395
17/03/2020,public,125
17/03/2020,paying,257
17/03/2020,pay,1132
17/03/2020,pandemic,241
17/03/2020,package,70
17/03/2020,open,123
17/03/2020,new,156
17/03/2020,needed,62
17/03/2020,money,1195
17/03/2020,million,69
17/03/2020,lost,100
17/03/2020,lockdown,36
17/03/2020,lives,101
17/03/2020,latest,71
17/03/2020,jobs,439
17/03/2020,income,617
17/03/2020,impact,166
17/03/2020,home,345
17/03/2020,help,560
17/03/2020,health,178
17/03/2020,government,355
17/03/2020,good,235
17/03/2020,global,106
17/03/2020,economy,749
17/03/2020,economic,208
17/03/2020,debt,48
17/03/2020,crisis,255
17/03/2020,country,152
17/03/2020,China,134
17/03/2020,care,152
17/03/2020,businesses,340
17/03/2020,business,1425
17/03/2020,#economy,137
17/03/2020,#business,119
17/03/2020,@realDonaldTrump,215
18/03/2020,world,200
18/03/2020,working,200
18/03/2020,workers,240
18/03/2020,work,426
18/03/2020,virus,232
18/03/2020,US,107
18/03/2020,Trump,137
18/03/2020,today,129
18/03/2020,time,489
18/03/2020,support,373
18/03/2020,small,254
18/03/2020,save,102
18/03/2020,right,305
18/03/2020,response,136
18/03/2020,rent,581
18/03/2020,public,146
18/03/2020,paying,310
18/03/2020,pay,1029
18/03/2020,pandemic,323
18/03/2020,package,81
18/03/2020,open,130
18/03/2020,new,169
18/03/2020,needed,64
18/03/2020,money,1159
18/03/2020,million,99
18/03/2020,lost,111
