created_at,TextPivot,Count of Number of Records
30/4/2020,Business,4883
1/5/2020,business,2014
1/5/2020,home,4340
1/5/2020,number,2357
1/5/2020,public,2453
1/5/2020,total,2426
1/5/2020,work,5580
1/5/2020,workers,5644
1/5/2020,working,3107
2/5/2020,business,1050
2/5/2020,home,2882
2/5/2020,number,1855
2/5/2020,public,1462
2/5/2020,total,2068
2/5/2020,work,2875
2/5/2020,workers,2094
2/5/2020,working,1353
3/5/2020,workers,5559
3/5/2020,work,8302
3/5/2020,total,4968
3/5/2020,public,4701
3/5/2020,numbers,5348
3/5/2020,number,5731
3/5/2020,money,5028
3/5/2020,home,9154
4/5/2020,working,4877
4/5/2020,Workers,6577
4/5/2020,work,10510
4/5/2020,Public,5476
4/5/2020,numbers,4453
4/5/2020,number,5679
4/5/2020,money,6062
4/5/2020,home,9913
4/5/2020,economy,4598
4/5/2020,Business,5162
5/5/2020,working,5865
5/5/2020,workers,7243
5/5/2020,work,12150
5/5/2020,toll,5554
5/5/2020,public,6226
5/5/2020,number,5863
5/5/2020,money,5790
5/5/2020,home,10493
5/5/2020,economy,5223
5/5/2020,business,5424
5/5/2020,#GivingTuesdayNow,6123
6/5/2020,#GivingTuesdayNow,4301
6/5/2020,business,4818
6/5/2020,economy,4740
6/5/2020,home,9319
6/5/2020,money,5234
6/5/2020,number,5117
6/5/2020,numbers,4232
6/5/2020,public,5312
6/5/2020,toll,4768
6/5/2020,work,10471
6/5/2020,Workers,6380
6/5/2020,working,5083
7/5/2020,Business,5699
7/5/2020,economy,4850
7/5/2020,home,10868
7/5/2020,money,5131
7/5/2020,number,4971
7/5/2020,public,5382
7/5/2020,work,10838
7/5/2020,Workers,8010
